"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr","brh.id"
"10403(實價)","住宅大樓(含車位)","基隆市中正區義一路121~150號","12.7","3房/2廳/2衛","11 /共14層","66.15","4.87","--",0,25.1,1660,"0783"
"10403(實價)","華廈","基隆市中正區正義路1~30號","36.9","3房/2廳/2衛","1 /共6層","30.34","4.94","--",0,29.7,900,"0783"
"10403(實價)","華廈","基隆市中正區義二路151~180號","18.5","1房/1廳/1衛","2 /共7層","11.81","1.73","--",0,22.4,265,"0783"
"10403(實價)","公寓","基隆市中正區正義路80巷1~30號","25.8","3房/2廳/2衛","1 /共4層","37.72","10.97","--",0,14.6,550,"0783"
"10402(實價)","公寓","基隆市中正區信五路1~30號","39.5","3房/1廳/2衛","4 /共4層","36.92","11.33","--",0,12.5,462,"0783"
"10402(實價)","公寓","基隆市中正區中正路80巷1~30號","17.8","1房/1廳/1衛","2 /共5層","18.97","5.63","--",0,9.5,180,"0783"
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","4房/4廳/2衛","-3 /共4層","23.98","2.53","--",0,3.8,90,"0783"
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","4房/4廳/2衛","-3 /共4層","28.64","2.53","--",0,3.1,90,"0783"
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","3房/2廳/1衛","2 /共4層","34.54","9.48","--",0,7.2,250,"0783"
"10402(實價)","套房","基隆市中正區正義路1~30號","28.6","1房/0廳/1衛","4 /共5層","15.21","3.28","--",0,11.2,170,"0783"
"10401(實價)","華廈(含車位)","基隆市中正區信三路28巷1~30號","2.4","3房/2廳/2衛","4 /共7層","46.72","8.95","4.66",0,25.7,1200,"0783"
"10401(實價)","公寓","基隆市中正區中船路14巷15弄31~60號","18.6","2房/2廳/2衛","4 /共5層","16.56","4.48","--",0,10,165,"0783"
"10401(實價)","華廈","基隆市中正區義一路61~90號","17.7","3房/1廳/0衛","3 /共10層","30.23","3.04","--",0,15.2,460,"0783"
"10401(實價)","華廈(含車位)","基隆市中正區義一路61~90號","17.7","3房/1廳/0衛","3 /共10層","43.03","3.55","7.73",50,15.3,590,"0783"
"10401(實價)","透天厝","基隆市中正區正義路30巷1~30號","58.4","2房/2廳/2衛","1 /共2層","24.41","16.64","--",0,23.4,570,"0783"
"10401(實價)","公寓","基隆市中正區義二路31~60號","28.8","2房/1廳/2衛","3 /共5層","23.17","5.2","--",0,25,580,"0783"
"10401(實價)","公寓","基隆市中正區正義路100巷1~30號","47","2房/1廳/1衛","2 /共3層","14.74","7.16","--",0,6.8,100,"0783"
"10401(實價)","公寓","基隆市中正區正義路2巷31~60號","30","2房/1廳/1衛","-3 /共4層","22.3","5.63","--",0,4.5,100,"0783"
"10312(實價)","公寓","基隆市中正區信二路301~330號","36.1","4房/1廳/4衛","1 /共5層","77.19","18.76","--",0,19.2,1480,"0783"
"10312(實價)","華廈","基隆市信義區信二路241~270號","23.6","3房/2廳/2衛","3 /共8層","49.7","6.99","--",0,25.2,1250,"0783"
"10312(實價)","公寓","基隆市中正區中正路61~90號","35.6","2房/2廳/2衛","2 /共5層","31.29","8.16","--",0,12.8,400,"0783"
"10312(實價)","公寓","基隆市中正區正義路2巷31~60號","29.9","3房/2廳/1衛","-4 /共0層","28.67","7.32","--",0,7.3,210,"0783"
"10312(實價)","套房","基隆市中正區正義路29巷1~30號","18.3","1房/1廳/1衛","3 /共7層","9.53","1.41","--",0,16.8,160,"0783"
"10312(實價)","公寓","基隆市中正區中船路14巷5弄1~30號","33.7","2房/1廳/1衛","5 /共5層","18.23","6.1","--",0,12.6,230,"0783"
"10312(實價)","公寓","基隆市中正區正義路1~30號","35.6","3房/2廳/1衛","3 /共5層","21.44","5.14","--",0,11.1,238,"0783"
"10311(實價)","公寓","基隆市中正區義二路61~90號","27.2","3房/2廳/2衛","3 /共5層","35.72","9.01","--",0,19.6,700,"0783"
"10311(實價)","公寓","基隆市中正區義二路224巷1~30號","20.8","2房/1廳/1衛","2 /共5層","15.26","4.48","--",0,12.4,190,"0783"
"10311(實價)","公寓","基隆市中正區正義路100巷121~150號","40.4","2房/1廳/1衛","2 /共2層","14.86","9.07","--",0,5.7,85,"0783"
"10311(實價)","華廈","基隆市中正區正義路74巷31~60號","13.3","2房/1廳/1衛","1 /共5層","21.81","6.06","--",0,13,283,"0783"
"10311(實價)","華廈","基隆市中正區正義路74巷31~60號","13.3","2房/1廳/1衛","2 /共5層","21.81","6.06","--",0,15.1,330,"0783"
"10311(實價)","透天厝","基隆市中正區義二路181~210號","35.9","3房/3廳/4衛","1 /共4層","35.96","11.48","--",0,15.3,550,"0783"
"10311(實價)","公寓","基隆市中正區信五路20巷1~30號","40.8","2房/1廳/1衛","1 /共4層","12.66","4.39","--",0,15.8,200,"0783"
"10311(實價)","公寓","基隆市中正區信五路20巷1~30號","35.9","2房/2廳/1衛","2 /共4層","19.03","4.5","--",0,14.6,277,"0783"
"10311(實價)","華廈","基隆市中正區義二路91~120號","14.8","4房/3廳/4衛","4 /共10層","58.68","6.47","--",0,22.2,1300,"0783"
"10311(實價)","公寓","基隆市中正區正義路100巷1~30號","38.8","2房/1廳/1衛","3 /共4層","17.08","7.64","--",0,12.3,210,"0783"
"10310(實價)","透天厝","基隆市中正區義一路91~120號","45","9房/3廳/4衛","1 /共4層","79.1","23.39","--",0,19,1500,"0783"
"10310(實價)","華廈(含車位)","基隆市中正區正義路2巷91~120號","19.1","3房/2廳/2衛","2 /共5層","47.9","15.52","--",0,12.5,600,"0783"
"10310(實價)","公寓","基隆市中正區正義路2巷31~60號","29.8","3房/1廳/1衛","-4 /共4層","22.58","5.72","--",0,7.1,160,"0783"
"10310(實價)","公寓","基隆市中正區中船路5巷1~30號","40.7","3房/2廳/1衛","4 /共4層","17.78","0","--",0,4.8,85,"0783"
"10310(實價)","公寓","基隆市中正區正義路30巷31~60號","33.2","2房/1廳/1衛","4 /共6層","20.52","5.5","--",0,5.8,120,"0783"
"10310(實價)","公寓","基隆市中正區正義路74巷30弄31~60號","42.6","3房/1廳/1衛","1 /共2層","12.94","10.13","--",0,4.2,55,"0783"
"10402(實價)","住宅大樓","台北市中山區復興北路190巷1~30號","28.7","2房/2廳/1衛","13 /共14層","25.62","4.9","--",0,70.3,1800,"0015"
"10402(實價)","住宅大樓","台北市中山區民生東路三段88巷1~30號","28.9","3房/2廳/2衛","14 /共15層","34.86","7.28","--",0,70.3,2450,"0015"
"10402(實價)","住宅大樓","台北市中山區復興北路331~360號","34.1","6房/0廳/6衛","12 /共12層","70.96","6.04","--",0,71.9,5100,"0015"
"10401(實價)","住宅大樓","台北市松山區民權東路三段160巷1~30號","34.4","2房/1廳/1衛","11 /共12層","21.47","5.09","--",0,76.3,1638,"0015"
"10401(實價)","住宅大樓(含車位)","台北市松山區民生東路三段130巷1~30號","21.7","0房/0廳/0衛","12 /共14層","350.92","34.71","65.16",1500,70,21500,"0015"
"10401(實價)","住宅大樓","台北市松山區慶城街61~90號","27.1","3房/2廳/2衛","10 /共17層","19.91","3.29","--",0,31.2,622,"0015"
"10401(實價)","公寓","台北市松山區興安街181~210號","","1房/2廳/1衛","3 /共3層","16.44","9.28","--",0,82.1,1350,"0015"
"10401(實價)","住宅大樓","台北市松山區復興北路151~180號","","1房/1廳/1衛","10 /共12層","31.79","2.82","--",0,50,1589,"0015"
"10401(實價)","住宅大樓","台北市松山區復興北路151~180號","","0房/0廳/1衛","10 /共12層","10.41","0.92","--",0,50,520,"0015"
"10401(實價)","住宅大樓","台北市松山區復興北路151~180號","","0房/0廳/1衛","10 /共12層","10.22","0.92","--",0,50,510,"0015"
"10401(實價)","華廈","台北市松山區復興北路313巷1~30號","35.1","2房/2廳/2衛","1 /共7層","60.06","11.71","--",0,89.9,5400,"0015"
"10312(實價)","公寓","台北市中山區錦州街426巷1弄1~30號","","3房/2廳/1衛","4 /共4層","26.87","13.46","--",0,47.2,1268,"0015"
"10312(實價)","華廈","台北市松山區敦化北路222巷1~30號","34","3房/2廳/2衛","3 /共7層","38.59","5.72","--",0,67.2,2595,"0015"
"10312(實價)","住宅大樓","台北市中山區復興北路190巷1~30號","28.5","2房/2廳/1衛","7 /共15層","25.62","4.9","--",0,74.9,1920,"0015"
"10312(實價)","住宅大樓","台北市松山區復興北路211~240號","29.6","3房/2廳/2衛","7 /共14層","31.44","5.1","--",0,67.1,2110,"0015"
"10312(實價)","公寓","台北市松山區民生東路三段130巷18弄1~30號","28.9","3房/2廳/2衛","4 /共5層","38.48","10.61","--",0,67.6,2600,"0015"
"10312(實價)","住宅大樓","台北市中山區興安街61~90號","28.8","3房/2廳/2衛","4 /共15層","33.81","6.9","--",0,71.6,2420,"0015"
"10312(實價)","華廈","台北市松山區民生東路三段113巷7弄1~30號","33.9","3房/2廳/2衛","0 /共7層","44.05","8.41","--",0,79.4,3500,"0015"
"10312(實價)","華廈","台北市松山區復興北路361巷1~30號","29.3","5房/2廳/2衛","1 /共7層","39.06","6.66","--",0,133.1,5200,"0015"
"10312(實價)","住宅大樓","台北市松山區敦化北路301~330號","40.3","1房/2廳/1衛","2 /共11層","26.96","4.44","--",0,85,2292,"0015"
"10311(實價)","住宅大樓","台北市中山區復興北路181~210號","28.4","2房/2廳/1衛","8 /共13層","25.62","4.9","--",0,78.3,2006,"0015"
"10311(實價)","住宅大樓","台北市中山區復興北路331~360號","33.8","2房/2廳/2衛","5 /共12層","44.23","6.04","--",0,74.1,3278,"0015"
"10311(實價)","住宅大樓(含車位)","台北市中山區興安街61~90號","28.7","3房/2廳/2衛","5 /共14層","38.97","8","--",0,46.2,1800,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段160巷1~30號","34.3","2房/1廳/1衛","11 /共12層","20.72","5.37","--",0,78.4,1625,"0015"
"10311(實價)","華廈","台北市松山區民生東路四段55巷1~30號","38.7","1房/1廳/1衛","2 /共7層","16.87","4.23","--",0,90.1,1520,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段121~150號","32.9","0房/0廳/0衛","6 /共12層","12.66","1.38","--",0,71.1,900,"0015"
"10311(實價)","透天厝","台北市松山區民生東路三段130巷1~30號","","4房/0廳/2衛","1 /共2層","12.16","6.96","--",0,61.1,742,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段103巷1~30號","29.6","3房/2廳/1衛","11 /共14層","30.25","5.79","--",0,62.4,1888,"0015"
"10311(實價)","華廈","台北市松山區復興北路313巷1~30號","34.9","3房/2廳/2衛","2 /共7層","14.05","2.76","--",0,71.2,1000,"0015"
"10311(實價)","住宅大樓","台北市松山區復興北路181~210號","29.5","2房/1廳/1衛","13 /共14層","31.44","5.1","--",0,66.8,2100,"0015"
"10311(實價)","住宅大樓","台北市中山區民生東路三段88巷1~30號","28.7","3房/2廳/2衛","12 /共15層","34.48","7.08","--",0,72.5,2500,"0015"
"10311(實價)","住宅大樓","台北市松山區復興北路181~210號","30.3","2房/2廳/1衛","12 /共12層","34.46","4.74","--",0,95.8,3300,"0015"
"10311(實價)","公寓","台北市松山區民生東路三段130巷18弄1~30號","28.8","3房/2廳/1衛","0 /共5層","38.29","10.61","--",0,67.9,2600,"0015"
"10310(實價)","公寓","台北市松山區復興北路231巷1~30號","28.8","3房/2廳/2衛","2 /共5層","46.24","12.71","--",0,45.4,2100,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","0房/0廳/0衛","2 /共7層","39.55","0","--",0,70,2768,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","4房/2廳/2衛","3 /共7層","39.55","0","--",0,60.1,2375,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","1房/1廳/1衛","-1 /共7層","17.09","0","--",0,46.8,800,"0015"
"10310(實價)","住宅大樓","台北市松山區敦化北路181~210號","","0房/0廳/0衛","13 /共13層","21.52","4.77","--",0,87.8,1890,"0015"
"10310(實價)","住宅大樓","台北市中山區復興北路181~210號","28.3","3房/2廳/1衛","13 /共15層","29.64","5.54","--",0,69.2,2050,"0015"
