"cty","dist","vil","vil.pay"
"臺北市","松山區","中崙里",125
"臺北市","松山區","自強里",126.3
"臺北市","松山區","鵬程里",120.1
"臺北市","松山區","東榮里",175.9
"臺北市","松山區","介壽里",157.3
"臺北市","松山區","東勢里",141.2
"臺北市","松山區","東光里",128.7
"臺北市","松山區","中正里",191.6
"臺北市","松山區","復盛里",110.3
"臺北市","松山區","復勢里",126.5
"臺北市","松山區","美仁里",148.2
"臺北市","松山區","吉仁里",134.3
"臺北市","松山區","精忠里",243.3
"臺北市","松山區","東昌里",659.1
"臺北市","松山區","福成里",218.8
"臺北市","松山區","中華里",206.6
"臺北市","松山區","吉祥里",125.1
"臺北市","松山區","新東里",112.6
"臺北市","松山區","三民里",143.8
"臺北市","松山區","復建里",130
"臺北市","松山區","敦化里",143.5
"臺北市","松山區","安平里",97.4
"臺北市","松山區","富錦里",146.2
"臺北市","松山區","莊敬里",92.5
"臺北市","松山區","新益里",107.2
"臺北市","松山區","富泰里",126.8
"臺北市","松山區","龍田里",146.1
"臺北市","松山區","慈祐里",89.9
"臺北市","松山區","復源里",136.2
"臺北市","松山區","民福里",110.8
"臺北市","松山區","松基里",187.1
"臺北市","松山區","新聚里",114.1
"臺北市","松山區","民有里",170.6
"臺北市","大安區","建安里",163.4
"臺北市","大安區","通安里",116.3
"臺北市","大安區","民輝里",262.1
"臺北市","大安區","德安里",177
"臺北市","大安區","敦安里",209.2
"臺北市","大安區","光明里",219.9
"臺北市","大安區","永康里",154.4
"臺北市","大安區","福住里",194.9
"臺北市","大安區","仁愛里",295.3
"臺北市","大安區","義村里",130.1
"臺北市","大安區","臥龍里",150.8
"臺北市","大安區","通化里",112.7
"臺北市","大安區","龍生里",159.7
"臺北市","大安區","新龍里",142.4
"臺北市","大安區","住安里",140.7
"臺北市","大安區","錦泰里",187.2
"臺北市","大安區","建倫里",219.3
"臺北市","大安區","錦華里",161.8
"臺北市","大安區","光武里",145.5
"臺北市","大安區","仁慈里",263.8
"臺北市","大安區","黎孝里",106.9
"臺北市","大安區","民炤里",220.8
"臺北市","大安區","昌隆里",145.6
"臺北市","大安區","黎和里",109
"臺北市","大安區","龍雲里",202.7
"臺北市","大安區","芳和里",130.1
"臺北市","大安區","龍安里",201.7
"臺北市","大安區","義安里",278.7
"臺北市","大安區","虎嘯里",169.6
"臺北市","大安區","龍淵里",154.3
"臺北市","大安區","龍坡里",160.4
"臺北市","大安區","龍門里",204.6
"臺北市","大安區","敦煌里",166.4
"臺北市","大安區","<U+7FA3>賢里",161.3
"臺北市","大安區","車層里",184.3
"臺北市","大安區","光信里",160.8
"臺北市","大安區","和安里",380.1
"臺北市","大安區","正聲里",179
"臺北市","大安區","誠安里",157
"臺北市","大安區","華聲里",169.6
"臺北市","大安區","臨江里",94.6
"臺北市","大安區","龍陣里",163.4
"臺北市","大安區","龍圖里",153.4
"臺北市","大安區","古莊里",142.8
"臺北市","大安區","錦安里",187.7
"臺北市","大安區","大學里",153.8
"臺北市","大安區","古風里",157.2
"臺北市","大安區","全安里",253.9
"臺北市","大安區","黎元里",84.6
"臺北市","大安區","法治里",135.6
"臺北市","大安區","龍泉里",150
"臺北市","大安區","<U+7FA3>英里",126.1
"臺北市","大安區","學府里",122.8
"臺北市","中正區","南門里",169.1
"臺北市","中正區","龍興里",115.6
"臺北市","中正區","愛國里",122.5
"臺北市","中正區","龍光里",132.6
"臺北市","中正區","河堤里",117
"臺北市","中正區","龍福里",129.6
"臺北市","中正區","螢雪里",95.7
"臺北市","中正區","永昌里",87.3
"臺北市","中正區","文盛里",125
"臺北市","中正區","忠勤里",71.1
"臺北市","中正區","永功里",110.4
"臺北市","中正區","螢圃里",108.2
"臺北市","中正區","幸市里",202.3
"臺北市","中正區","文祥里",156.4
"臺北市","中正區","黎明里",147
"臺北市","中正區","建國里",151.6
"臺北市","中正區","光復里",161.6
"臺北市","中正區","東門里",448.3
"臺北市","中正區","板溪里",111
"臺北市","中正區","文北里",250
"臺北市","中正區","梅花里",143.9
"臺北市","中正區","廈安里",117.6
"臺北市","中正區","網溪里",114.7
"臺北市","中正區","林興里",124.2
"臺北市","中正區","幸福里",147.7
"臺北市","中正區","水源里",105.4
"臺北市","中正區","富水里",123.4
"臺北市","中正區","頂東里",120.5
"臺北市","中正區","新營里",166
"臺北市","中正區","南福里",155
"臺北市","中正區","三愛里",197.8
"臺北市","萬華區","柳鄉里",76.4
"臺北市","萬華區","雙園里",94.2
"臺北市","萬華區","糖<ed><U+00AE><U+00BF><ed><U+00BE><U+00B4>里",87.4
"臺北市","萬華區","西門里",97.8
"臺北市","萬華區","仁德里",113
"臺北市","萬華區","新起里",108.4
"臺北市","萬華區","日善里",79.2
"臺北市","萬華區","菜園里",86.4
"臺北市","萬華區","頂碩里",87.8
"臺北市","萬華區","福音里",126.3
"臺北市","萬華區","華中里",82.9
"臺北市","萬華區","青山里",83.1
"臺北市","萬華區","新和里",93.6
"臺北市","萬華區","新安里",78.8
"臺北市","萬華區","富民里",78.9
"臺北市","萬華區","富福里",108.3
"臺北市","萬華區","綠堤里",68.2
"臺北市","萬華區","忠貞里",80.3
"臺北市","萬華區","日祥里",88.2
"臺北市","萬華區","忠德里",79.2
"臺北市","萬華區","孝德里",78.2
"臺北市","萬華區","保德里",97.5
"臺北市","萬華區","全德里",93.7
"臺北市","萬華區","興德里",78.5
"臺北市","萬華區","壽德里",88.7
"臺北市","萬華區","凌霄里",77.3
"臺北市","萬華區","和平里",72.7
"臺北市","萬華區","騰雲里",90.2
"臺北市","萬華區","榮德里",77.2
"臺北市","萬華區","福星里",94.3
"臺北市","萬華區","和德里",72.6
"臺北市","萬華區","萬壽里",102
"臺北市","萬華區","銘德里",82.5
"臺北市","萬華區","華江里",77.7
"臺北市","萬華區","錦德里",79
"臺北市","萬華區","新忠里",83.5
"臺北市","大同區","建泰里",103.3
"臺北市","大同區","建明里",114
"臺北市","大同區","雙連里",93.1
"臺北市","大同區","建功里",96.6
"臺北市","大同區","景星里",74.7
"臺北市","大同區","星明里",111
"臺北市","大同區","朝陽里",114
"臺北市","大同區","大有里",99.1
"臺北市","大同區","斯文里",91.7
"臺北市","大同區","揚雅里",102
"臺北市","大同區","國順里",70.3
"臺北市","大同區","國慶里",103.8
"臺北市","大同區","隆和里",93
"臺北市","大同區","南芳里",91.5
"臺北市","大同區","鄰江里",81.7
"臺北市","大同區","玉泉里",110.3
"臺北市","大同區","光能里",93.3
"臺北市","大同區","重慶里",106.1
"臺北市","大同區","至聖里",94.7
"臺北市","大同區","老師里",83.7
"臺北市","大同區","蓬萊里",103
"臺北市","大同區","民權里",115.6
"臺北市","大同區","文昌里",81.8
"臺北市","大同區","延平里",123.8
"臺北市","大同區","永樂里",147.7
"臺北市","大同區","保安里",107.4
"臺北市","中山區","聚盛里",100.4
"臺北市","中山區","大佳里",81
"臺北市","中山區","恆安里",118.8
"臺北市","中山區","集英里",119
"臺北市","中山區","正守里",117.7
"臺北市","中山區","正義里",92.8
"臺北市","中山區","新生里",89.4
"臺北市","中山區","松江里",313.6
"臺北市","中山區","江山里",119.5
"臺北市","中山區","中山里",98.8
"臺北市","中山區","成功里",276.3
"臺北市","中山區","下埤里",112.4
"臺北市","中山區","中原里",116
"臺北市","中山區","新庄里",88.2
"臺北市","中山區","江寧里",129.7
"臺北市","中山區","復華里",156.7
"臺北市","中山區","興亞里",135.8
"臺北市","中山區","朱園里",179.8
"臺北市","中山區","中央里",108.4
"臺北市","中山區","新福里",93.8
"臺北市","中山區","中庄里",94
"臺北市","中山區","康樂里",122.1
"臺北市","中山區","行政里",100.2
"臺北市","中山區","聚葉里",103.2
"臺北市","中山區","正得里",142.8
"臺北市","中山區","中吉里",145.9
"臺北市","中山區","新喜里",100.7
"臺北市","中山區","埤頭里",99.2
"臺北市","中山區","大直里",123.2
"臺北市","中山區","劍潭里",111.5
"臺北市","中山區","力行里",188.5
"臺北市","中山區","朱崙里",127.5
"臺北市","中山區","晴光里",140.1
"臺北市","中山區","永安里",213.8
"臺北市","中山區","圓山里",113.6
"臺北市","中山區","民安里",123.4
"臺北市","中山區","行孝里",90.6
"臺北市","中山區","龍洲里",121.9
"臺北市","中山區","行仁里",87.6
"臺北市","中山區","朱馥里",109.5
"臺北市","中山區","金泰里",230
"臺北市","中山區","北安里",121
"臺北市","文山區","景美里",119.7
"臺北市","文山區","景行里",107.8
"臺北市","文山區","景仁里",115
"臺北市","文山區","萬有里",118.1
"臺北市","文山區","景慶里",102.8
"臺北市","文山區","萬隆里",115.8
"臺北市","文山區","萬祥里",104.8
"臺北市","文山區","萬年里",132.8
"臺北市","文山區","萬盛里",110.7
"臺北市","文山區","萬和里",120.6
"臺北市","文山區","興福里",103
"臺北市","文山區","興得里",102.2
"臺北市","文山區","興豐里",127.7
"臺北市","文山區","興旺里",101.6
"臺北市","文山區","興光里",115.2
"臺北市","文山區","興安里",127.3
"臺北市","文山區","興昌里",139.7
"臺北市","文山區","興泰里",111.2
"臺北市","文山區","興業里",109.1
"臺北市","文山區","景東里",111
"臺北市","文山區","景華里",110.5
"臺北市","文山區","興家里",105.4
"臺北市","文山區","萬芳里",109.8
"臺北市","文山區","木柵里",142
"臺北市","文山區","博嘉里",131
"臺北市","文山區","樟腳里",125.5
"臺北市","文山區","老泉里",77.9
"臺北市","文山區","木新里",100.1
"臺北市","文山區","指南里",117.4
"臺北市","文山區","華興里",137.9
"臺北市","文山區","順興里",99.4
"臺北市","文山區","萬興里",151.6
"臺北市","文山區","明興里",106.9
"臺北市","文山區","明義里",101.4
"臺北市","文山區","試院里",119.6
"臺北市","文山區","樟新里",128.9
"臺北市","文山區","樟林里",104.6
"臺北市","文山區","忠順里",124.2
"臺北市","文山區","萬美里",147.7
"臺北市","文山區","興邦里",107.4
"臺北市","文山區","樟樹里",105.5
"臺北市","文山區","政大里",184.9
"臺北市","文山區","樟文里",100.7
"臺北市","南港區","南港里",91.4
"臺北市","南港區","三重里",141.9
"臺北市","南港區","新富里",86.4
"臺北市","南港區","中研里",104.5
"臺北市","南港區","鴻福里",102.6
"臺北市","南港區","東新里",92.2
"臺北市","南港區","西新里",82.9
"臺北市","南港區","新光里",106.5
"臺北市","南港區","百福里",84.2
"臺北市","南港區","玉成里",92.6
"臺北市","南港區","成福里",92.7
"臺北市","南港區","中南里",77.3
"臺北市","南港區","舊庄里",80.8
"臺北市","南港區","九如里",88.5
"臺北市","南港區","東明里",114.7
"臺北市","南港區","合成里",119.4
"臺北市","南港區","聯成里",90.6
"臺北市","南港區","萬福里",99.7
"臺北市","南港區","仁福里",116.6
"臺北市","南港區","重陽里",174.3
"臺北市","內湖區","紫陽里",119.7
"臺北市","內湖區","紫星里",105.6
"臺北市","內湖區","湖興里",115.2
"臺北市","內湖區","大湖里",186.7
"臺北市","內湖區","紫雲里",102
"臺北市","內湖區","瑞陽里",122.2
"臺北市","內湖區","清白里",150.4
"臺北市","內湖區","港墘里",118.4
"臺北市","內湖區","西湖里",98.7
"臺北市","內湖區","石潭里",131
"臺北市","內湖區","葫洲里",152.4
"臺北市","內湖區","五分里",91.9
"臺北市","內湖區","內湖里",113
"臺北市","內湖區","週美里",131.2
"臺北市","內湖區","內溝里",100.9
"臺北市","內湖區","碧山里",111
"臺北市","內湖區","瑞光里",106.7
"臺北市","內湖區","金龍里",93.3
"臺北市","內湖區","行善里",88.6
"臺北市","內湖區","湖濱里",145.8
"臺北市","內湖區","東湖里",92.3
"臺北市","內湖區","樂康里",89.4
"臺北市","內湖區","西安里",110.3
"臺北市","內湖區","西康里",132
"臺北市","內湖區","港富里",115.7
"臺北市","內湖區","港華里",114.2
"臺北市","內湖區","港都里",117.9
