"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","松山區","中崙里",1250,1423,1779402,822,434,1563,1611.77,128.89
"臺北市","松山區","自強里",1263,3108,3924749,793,397,1563,2219.35,175.75
"臺北市","松山區","鵬程里",1201,1880,2257687,736,400,1528,1427.7,118.89
"臺北市","松山區","東榮里",1759,3069,5396865,917,419,1933,4627.44,263.15
"臺北市","松山區","介壽里",1573,1572,2473439,895,445,1856,2702.74,171.77
"臺北市","松山區","東勢里",1412,1654,2334816,788,387,1651,3952.56,280
"臺北市","松山區","東光里",1287,2660,3424147,792,404,1558,1944.76,151.08
"臺北市","松山區","中正里",1916,3479,6667324,998,469,2002,7584.55,395.76
"臺北市","松山區","復盛里",1103,2280,2514918,718,381,1340,2002.92,181.58
"臺北市","松山區","復勢里",1265,2337,2956221,790,416,1541,1791.28,141.61
"臺北市","松山區","美仁里",1482,1242,1841056,859,433,1810,2091.14,141.07
"臺北市","松山區","吉仁里",1343,1469,1973068,796,412,1661,2023.02,150.62
"臺北市","松山區","精忠里",2433,1568,3814960,961,463,1866,15806.73,649.68
"臺北市","松山區","東昌里",6591,1000,6591160,917,426,1837,137227.17,2081.99
"臺北市","松山區","福成里",2188,1003,2194402,892,429,1886,13912.26,635.89
"臺北市","松山區","中華里",2066,2336,4825752,976,470,2183,7299.28,353.34
"臺北市","松山區","吉祥里",1251,3144,3932506,764,403,1496,1965.49,157.14
"臺北市","松山區","新東里",1126,1787,2012751,750,409,1397,1338.76,118.86
"臺北市","松山區","三民里",1438,2540,3653675,800,394,1604,3653.21,253.97
"臺北市","松山區","復建里",1300,1575,2047581,847,429,1710,1399.16,107.62
"臺北市","松山區","敦化里",1435,2580,3702080,838,442,1668,3106.55,216.5
"臺北市","松山區","安平里",974,2865,2789153,671,372,1236,1155.4,118.68
"臺北市","松山區","富錦里",1462,1853,2708523,749,392,1479,6550.39,448.14
"臺北市","松山區","莊敬里",925,1796,1660760,688,378,1215,866.22,93.68
"臺北市","松山區","新益里",1072,1707,1829253,716,389,1348,1326.14,123.75
"臺北市","松山區","富泰里",1268,1697,2151362,804,412,1540,2239.91,176.68
"臺北市","松山區","龍田里",1461,3592,5246369,977,459,1850,2260.06,154.74
"臺北市","松山區","慈祐里",899,2279,2049550,638,361,1088,935.22,103.99
"臺北市","松山區","復源里",1362,1136,1547364,740,387,1474,5544.06,407.02
"臺北市","松山區","民福里",1108,2262,2505484,709,369,1423,1690.79,152.65
"臺北市","松山區","松基里",1871,1444,2701720,822,392,1760,7002.13,374.25
"臺北市","松山區","新聚里",1141,2902,3312534,709,382,1318,2407.38,210.9
"臺北市","松山區","民有里",1706,3482,5940239,805,403,1707,5212.69,305.55
"臺北市","大安區","建安里",1634,2027,3312308,813,393,1713,3583.48,219.29
"臺北市","大安區","通安里",1163,1962,2282733,695,374,1381,1694.88,145.67
"臺北市","大安區","民輝里",2621,2664,6981058,922,426,2030,10791.68,411.81
"臺北市","大安區","德安里",1770,2069,3661540,839,408,1830,3497.25,197.62
"臺北市","大安區","敦安里",2092,2399,5018544,975,461,2013,5197.48,248.45
"臺北市","大安區","光明里",2199,1235,2715422,1042,470,2059,10501.6,477.62
"臺北市","大安區","永康里",1544,1315,2030590,895,444,1825,2108.26,136.53
"臺北市","大安區","福住里",1949,2274,4432263,1033,477,2070,5197.38,266.65
"臺北市","大安區","仁愛里",2953,2237,6606631,946,414,2204,14528.55,491.94
"臺北市","大安區","義村里",1301,2196,2857054,750,379,1504,2562.72,196.98
