"opr.id.md5","m.call","call.sd","start.dt","last.dt","days","l_s"
"A5D0E3784E159C774C356EE1AE2E8EA0",192.435185185185,35.7985728186647,"2014-10-01","2015-03-30",108,181
"CBCC7F3540C01B2139767ED8B92C15DB",186.683333333333,34.5041669224748,"2014-10-01","2015-03-31",120,182
"F01BF43F89479D83936C7A82998B817F",179.241071428571,54.181085349525,"2014-10-02","2015-03-30",112,180
"4AFA572EB547A52C1E86BF95C0BD93CA",175,NA,"2014-10-05","2014-10-05",1,1
"CB82E1622243DF312040A5B183866750",174.198347107438,48.6162901084795,"2014-10-01","2015-03-31",121,182
"41F116BDE91E3AECBB0C2C9E0740DC1D",170.873949579832,29.0086353659397,"2014-10-01","2015-03-30",119,181
"D20694FC1F5940264AB6F1F82FC59DB4",169.646017699115,31.6797367509079,"2014-10-01","2015-03-31",113,182
"946D51CD23274183FD1875394851E909",166.529411764706,26.2069101390727,"2014-10-01","2014-11-28",34,59
"ECCBC5DDF9D424920A39E665D22A3214",165.954954954955,29.8463907936461,"2014-10-02","2015-03-31",111,181
"F40CCC0D125AB36EE17D7D9B9F93DD1F",163.517857142857,22.7667301686914,"2014-10-01","2015-03-31",112,182
"8F7EB7E48A592816A9467527EB268DF8",163.148760330579,28.7586685937257,"2014-10-02","2015-03-31",121,181
"7E768A3DCFCF33F8632AC3E236A36F35",162.184210526316,26.3255876030442,"2014-10-01","2015-03-31",114,182
"D9C174E933BF68C2CD2103D3A8E75EC1",160.34188034188,42.286005346426,"2014-10-01","2015-03-27",117,178
"832E81D0357F66A90A0D9193C035FC55",159.625,40.2631965944086,"2014-10-12","2015-01-18",8,99
"7C9AAEA904786325110BE09BBF0CA427",159.370967741935,43.9018616828314,"2014-10-01","2015-03-31",124,182
"38B72D615269C1DE39408ADF9BADC934",158.0625,23.4521868397718,"2014-10-01","2015-03-31",112,182
"168124221E32CE66FF0DBFDD1517B240",157.809917355372,35.8978444221903,"2014-10-01","2015-03-31",121,182
"A335C935BBB56A0624E59974B4D7298F",155.886956521739,39.552267266481,"2014-10-01","2015-03-31",115,182
"EC54FDCBFEBBE4582DA9348DB89F83E1",155.35593220339,40.0251043921462,"2014-10-01","2015-03-31",118,182
"37EC4858AABA09754EDC463FE00E1B6D",154.25,19.838934783232,"2014-12-14","2015-03-29",4,106
"545B1C1FD14C84812345773EEC9D8822",154,NA,"2014-10-05","2014-10-05",1,1
"921138919140C1C8339791AC76E91757",153.674796747967,42.1979130738265,"2014-10-03","2015-03-31",123,180
"0E87E5904F46D00C970AD4A5EF362256",152.774436090226,67.4217410018273,"2014-10-01","2015-03-28",133,179
"94438892A1B3A9AA6C1E922D0DC8951F",152.294642857143,30.0739743799591,"2014-10-01","2015-03-31",112,182
"8E6DDAF2F5C30CFEEA72A865F4D9015B",149.359375,53.1008154770782,"2014-10-01","2015-03-31",128,182
"AFF69E8DA6F3B07C32701884011A3A89",148.025423728814,21.7127564476269,"2014-10-01","2015-03-31",118,182
"72BA8FD45CD4F38AD9096B18182CC744",147.411764705882,40.6008707773167,"2014-10-01","2015-03-31",119,182
"074A6983909C107184DF1E6B6BA85365",146.307692307692,43.8707862773642,"2014-10-01","2015-03-31",117,182
"591821B54A8881C06B709D4767586643",146.114754098361,44.0623518992996,"2014-10-01","2015-03-30",122,181
"CA4DA562CA5883E4A90E4148C0E78AFC",145.605263157895,24.6897988396887,"2014-10-01","2015-03-30",114,181
"646289730B494251ABD46C8D53EB540A",145.265151515152,53.3579100281513,"2014-10-01","2015-03-31",132,182
"B0ED0D07BB9F09AFDC1385A1E9FAABCA",144.023076923077,42.8895219282559,"2014-10-01","2015-03-31",130,182
"841F197841198BE0BFF825B8C66C8434",143.529914529915,31.6212970162932,"2014-10-02","2015-03-31",117,181
"96BE9F65A5DC4F5C9458C02B7746E6F6",143.370689655172,31.01262861212,"2014-10-02","2015-03-31",116,181
"9B2C81093707DA98C538935623E83BFA",142.444444444444,18.8811210479183,"2014-10-02","2014-10-31",18,30
"B4F8DA1F625D33C59755DCB761C5F634",141.966666666667,45.241264226318,"2014-10-01","2015-03-31",120,182
"BCB284DD88ECBBDAAFA1EDB1A984A9CF",141.75,58.0768169467531,"2014-11-22","2015-03-29",4,128
"956353F9F68E561F31E12832B5187CBA",141.512396694215,33.9052885998825,"2014-10-01","2015-03-31",121,182
"406F14C44A0AD567F234875B01150FDF",140.516949152542,46.4345386209184,"2014-10-01","2015-03-31",118,182
"ED4F6BEB1830B47E19A9EF1664CBBB5C",139.396551724138,26.8994518484137,"2014-10-01","2015-03-30",116,181
"1603B903844C6593B3B87A7958FFA6D9",137.975806451613,51.0990531326331,"2014-10-01","2015-03-31",124,182
"9E4828F8CADE27E33DD6A0BC13FAAB3D",136.793388429752,33.9752158088245,"2014-10-02","2015-03-31",121,181
"8E122AB665E1330560A12E339FD08D80",136.474137931034,30.8799811913934,"2014-10-01","2015-03-31",116,182
"DDEB233185446D6808475795D4A858BD",136.347107438017,38.6246274510192,"2014-10-01","2015-03-31",121,182
"627F1411893B4BD3233D0FAA1BDD9676",136.243902439024,43.1009758862959,"2014-10-02","2015-03-31",123,181
"8199690AC7F55A2B455B5E3188E42703",136,NA,"2014-10-05","2014-10-05",1,1
"83AD9B173319BCEB836F286AB18BA691",135.483333333333,40.9104336989254,"2014-10-01","2015-03-31",120,182
