"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","高雄市苓雅區大順三路281巷1~30號","39.6","4房/2廳/4衛","1 /共3層","48.22","21.98","--",0,17.8,860
"10403(實價)","住宅大樓","高雄市苓雅區武廟路151~180號","0.3","3房/2廳/2衛","4 /共13層","35.52","4.82","--",0,23.7,840
"10403(實價)","透天厝","高雄市苓雅區建國一路328巷31~60號","44.7","8房/2廳/4衛","1 /共2層","23.49","17.13","--",0,54.1,1270
"10403(實價)","住宅大樓","高雄市苓雅區武廟路91~120號","1.2","1房/1廳/1衛","5 /共13層","26.22","2.46","--",0,25.5,668
"10403(實價)","住宅大樓(含車位)","高雄市苓雅區武廟路91~120號","1.2","1房/1廳/1衛","4 /共13層","33.54","3.04","5.41",0,22.5,755
"10403(實價)","住宅大樓(含車位)","高雄市苓雅區武廟路91~120號","1.2","1房/1廳/1衛","3 /共13層","31.62","2.86","5.41",0,22.1,699
"10402(實價)","透天厝","高雄市苓雅區福德三路317巷1~30號","45.3","2房/1廳/1衛","1 /共2層","21.14","0","--",0,0.7,15
"10402(實價)","透天厝","高雄市苓雅區福安路493巷1~30號","44.8","2房/1廳/2衛","1 /共2層","22.73","20.27","--",0,22,500
"10402(實價)","住宅大樓","高雄市苓雅區武廟路151~180號","0.3","3房/2廳/2衛","6 /共13層","35.52","4.82","--",0,24.3,863
"10402(實價)","公寓","高雄市苓雅區家齊路31~60號","30.3","3房/1廳/2衛","4 /共5層","32.83","8.71","--",0,4.6,150
"10401(實價)","華廈","高雄市苓雅區憲政路46巷4弄1~30號","45.4","3房/2廳/2衛","2 /共6層","31.74","5.8","--",0,10.4,330
"10401(實價)","公寓","高雄市苓雅區國治路23巷1~30號","30.3","3房/2廳/2衛","2 /共5層","30.56","8.75","--",0,17,520
"10401(實價)","住宅大樓","高雄市苓雅區武廟路91~120號","1","2房/2廳/1衛","11 /共13層","29.36","2.74","--",0,25.6,752
"10401(實價)","住宅大樓(含車位)","高雄市苓雅區建國一路151~180號","9.4","2房/1廳/1衛","12 /共15層","30.49","2.72","--",0,18.4,562
"10401(實價)","住宅大樓","高雄市苓雅區大順三路181~210號","33.8","3房/2廳/2衛","12 /共12層","31.07","3.63","--",0,11.6,360
"10401(實價)","華廈","高雄市苓雅區樂仁路91~120號","21.3","2房/2廳/1衛","2 /共10層","22.47","2.8","--",0,11.1,250
"10401(實價)","住宅大樓","高雄市苓雅區中正一路241~270號","22.2","2房/1廳/2衛","10 /共12層","26.76","2.32","--",0,13.8,370
"10401(實價)","住宅大樓(含車位)","高雄市苓雅區武廟路181~210號","28.6","4房/2廳/2衛","10 /共12層","33.3","4.72","--",0,19.1,635
"10401(實價)","透天厝","高雄市苓雅區福德三路305巷31~60號","45.3","3房/1廳/2衛","1 /共2層","24.99","18.15","--",0,14.8,370
"10401(實價)","公寓","高雄市苓雅區建民路182巷1~30號","31.2","0房/0廳/0衛","4 /共5層","35.69","10.19","--",0,8.8,315
"10401(實價)","公寓","高雄市新興區建民路151~180號","30.3","2房/1廳/1衛","5 /共5層","28.58","5.67","--",0,8.4,240
"10312(實價)","公寓","高雄市苓雅區家齊路1~30號","33","3房/2廳/2衛","1 /共5層","35.21","10.82","--",0,21.5,758
"10312(實價)","住宅大樓","高雄市苓雅區武廟路151~180號","0.1","3房/2廳/2衛","12 /共13層","35.52","4.82","--",0,26.2,930
"10312(實價)","透天厝","高雄市苓雅區建國一路340巷1~30號","47","2房/2廳/2衛","1 /共2層","22.64","20.05","--",0,17.7,400
